rack_id,sample_count,failed_count,failure_rate,expected_failed_at_global_rate,lift_vs_global
455.0,180,0,0.0,0.8816707307747861,0.0
468.0,192,0,0.0,0.9404487794931051,0.0
478.0,168,0,0.0,0.822892682056467,0.0
489.0,264,0,0.0,1.2931170718030196,0.0
506.0,180,0,0.0,0.8816707307747861,0.0
538.0,288,0,0.0,1.4106731692396577,0.0
542.0,120,0,0.0,0.5877804871831906,0.0
575.0,168,0,0.0,0.822892682056467,0.0
611.0,192,0,0.0,0.9404487794931051,0.0
617.0,120,0,0.0,0.5877804871831906,0.0
620.0,102,0,0.0,0.4996134141057121,0.0
634.0,144,0,0.0,0.7053365846198288,0.0
697.0,120,0,0.0,0.5877804871831906,0.0
724.0,108,0,0.0,0.5290024384648716,0.0
752.0,108,0,0.0,0.5290024384648716,0.0
765.0,156,0,0.0,0.7641146333381479,0.0
777.0,168,0,0.0,0.822892682056467,0.0
779.0,166,0,0.0,0.8130963406034138,0.0
791.0,108,0,0.0,0.5290024384648716,0.0
806.0,144,0,0.0,0.7053365846198288,0.0
809.0,120,0,0.0,0.5877804871831906,0.0
824.0,335,0,0.0,1.6408871933864073,0.0
834.0,179,0,0.0,0.8767725600482594,0.0
848.0,108,0,0.0,0.5290024384648716,0.0
918.0,131,0,0.0,0.6416603651749831,0.0
920.0,144,0,0.0,0.7053365846198288,0.0
964.0,179,0,0.0,0.8767725600482594,0.0
974.0,179,0,0.0,0.8767725600482594,0.0
1009.0,156,0,0.0,0.7641146333381479,0.0
1017.0,120,0,0.0,0.5877804871831906,0.0
1023.0,137,0,0.0,0.6710493895341427,0.0
1057.0,166,0,0.0,0.8130963406034138,0.0
1105.0,168,0,0.0,0.822892682056467,0.0
1122.0,118,0,0.0,0.5779841457301376,0.0
1124.0,144,0,0.0,0.7053365846198288,0.0
1153.0,192,0,0.0,0.9404487794931051,0.0
1174.0,108,0,0.0,0.5290024384648716,0.0
1219.0,275,0,0.0,1.346996949794812,0.0
1220.0,108,0,0.0,0.5290024384648716,0.0
1222.0,168,0,0.0,0.822892682056467,0.0
1237.0,119,0,0.0,0.5828823164566641,0.0
1251.0,144,0,0.0,0.7053365846198288,0.0
1253.0,185,0,0.0,0.906161584407419,0.0
1256.0,131,0,0.0,0.6416603651749831,0.0
1293.0,192,0,0.0,0.9404487794931051,0.0
1361.0,191,0,0.0,0.9355506087665786,0.0
1362.0,192,0,0.0,0.9404487794931051,0.0
1366.0,180,0,0.0,0.8816707307747861,0.0
1407.0,156,0,0.0,0.7641146333381479,0.0
1425.0,180,0,0.0,0.8816707307747861,0.0
1449.0,216,0,0.0,1.0580048769297432,0.0
1450.0,180,0,0.0,0.8816707307747861,0.0
1486.0,131,0,0.0,0.6416603651749831,0.0
1494.0,183,0,0.0,0.8963652429543658,0.0
1509.0,103,0,0.0,0.5045115848322387,0.0
1518.0,192,0,0.0,0.9404487794931051,0.0
1532.0,120,0,0.0,0.5877804871831906,0.0
1543.0,108,0,0.0,0.5290024384648716,0.0
1571.0,156,0,0.0,0.7641146333381479,0.0
1577.0,103,0,0.0,0.5045115848322387,0.0
1598.0,192,0,0.0,0.9404487794931051,0.0
1613.0,144,0,0.0,0.7053365846198288,0.0
1621.0,252,0,0.0,1.2343390230847004,0.0
